rank_date,country_full,total_points,rank
2010-01-31,Qatar,1991.4971220531243,1
2010-01-31,Iran,1939.4378099254222,2
2010-01-31,Venezuela,1930.4975921367256,3
2010-01-31,Germany,1928.877484444614,4
2010-01-31,Sweden,1926.1966979430556,5
2010-01-31,Uruguay,1910.578862555084,6
2010-01-31,France,1906.8352097638572,7
2010-01-31,Iraq,1905.0945768587658,8
2010-01-31,Croatia,1902.3580830472758,9
2010-01-31,United States,1893.1488004227688,10
2010-01-31,Chile,1887.6423493499378,11
2010-01-31,New Zealand,1871.263771435762,12
2010-01-31,Portugal,1841.055985123233,13
2010-01-31,Tunisia,1827.865182935835,14
2010-01-31,Netherlands,1808.5683144203726,15
2010-01-31,Algeria,1775.8132805569699,16
2010-01-31,Japan,1770.6901606214908,17
2010-01-31,Colombia,1751.3675390879334,18
2010-01-31,Denmark,1749.9096814974896,19
2010-01-31,Switzerland,1691.07459296369,20
2010-01-31,Belgium,1651.7869451767292,21
2010-01-31,Spain,1621.0304109139106,22
2010-01-31,Peru,1598.0383762630574,23
2010-01-31,Canada,1592.0341293981012,24
2010-01-31,Ecuador,1573.6642094969677,25
2010-01-31,Senegal,1567.7320503987914,26
2010-01-31,Italy,1563.1493554478127,27
2010-01-31,Australia,1561.3569362052529,28
2010-01-31,United Arab Emirates,1559.369453679453,29
2010-01-31,Panama,1445.4857390040315,30
2010-01-31,Brazil,1436.782280406347,31
2010-01-31,Nigeria,1413.7863485035384,32
2010-01-31,Egypt,1369.0133205013312,33
2010-01-31,Saudi Arabia,1367.122261908678,34
2010-01-31,Jamaica,1361.3660428001447,35
2010-01-31,South Korea,1353.5527154240067,36
2010-01-31,Mali,1319.0376551174268,37
2010-01-31,Morocco,1287.6732098598907,38
2010-01-31,Cameroon,1259.7080667540886,39
2010-01-31,Serbia,1232.808872117527,40
2010-01-31,Argentina,1180.740847437967,41
2010-01-31,Ivory Coast,1154.9004342867343,42
2010-01-31,England,1147.2567950809944,43
2010-01-31,Mexico,1048.0160797635176,44
2010-01-31,Poland,1045.7273213732508,45
2010-01-31,Costa Rica,1031.8015319496117,46
2010-01-31,Ukraine,1021.5097336953048,47
2010-01-31,Wales,1006.7473819316174,48
2010-02-28,Qatar,1993.57477106293,1
2010-02-28,Iran,1938.0688515637542,2
2010-02-28,Venezuela,1937.2546937332306,3
2010-02-28,Sweden,1923.330258046177,4
2010-02-28,United States,1921.070591899566,5
2010-02-28,Germany,1917.467818466838,6
2010-02-28,France,1915.1600379546971,7
2010-02-28,Uruguay,1906.9392778882527,8
2010-02-28,Croatia,1903.7615767976456,9
2010-02-28,Iraq,1896.3608168108788,10
2010-02-28,Chile,1893.5562905820834,11
2010-02-28,New Zealand,1864.5979346868348,12
2010-02-28,Portugal,1847.9318672693428,13
2010-02-28,Tunisia,1824.271063282629,14
2010-02-28,Netherlands,1808.887897502443,15
2010-02-28,Japan,1771.9593411024075,16
2010-02-28,Algeria,1769.3004217826985,17
2010-02-28,Colombia,1751.9174670775728,18
2010-02-28,Denmark,1741.1252373508507,19
2010-02-28,Switzerland,1698.5086120070152,20
2010-02-28,Belgium,1644.8353992172433,21
2010-02-28,Spain,1620.5873330281227,22
2010-02-28,Peru,1595.644856671187,23
2010-02-28,Canada,1591.9961317199889,24
2010-02-28,Ecuador,1589.7751439362348,25
2010-02-28,Italy,1564.9257328179347,26
2010-02-28,Senegal,1563.4848326993244,27
2010-02-28,Australia,1561.4713600760497,28
2010-02-28,United Arab Emirates,1552.1286069804412,29
2010-02-28,Panama,1444.5113326136427,30
2010-02-28,Brazil,1427.7529916403632,31
2010-02-28,Nigeria,1418.1792484283822,32
2010-02-28,Jamaica,1375.1033743755447,33
2010-02-28,Saudi Arabia,1370.484880714154,34
2010-02-28,Egypt,1367.6029334864631,35
2010-02-28,South Korea,1366.3746302743687,36
2010-02-28,Mali,1323.7648597874147,37
2010-02-28,Morocco,1290.7582716549714,38
2010-02-28,Cameroon,1259.0169571746183,39
2010-02-28,Serbia,1244.1364287959964,40
2010-02-28,Argentina,1177.5801037136885,41
2010-02-28,Ivory Coast,1158.731259809216,42
2010-02-28,England,1142.0733966370817,43
2010-02-28,Mexico,1069.6468638658914,44
2010-02-28,Poland,1059.401730525365,45
2010-02-28,Costa Rica,1032.5287344831042,46
2010-02-28,Ukraine,1025.7014000324323,47
2010-02-28,Wales,1020.1717097921179,48
2010-03-31,Qatar,2013.1764900839617,1
2010-03-31,Venezuela,1946.161287610076,2
2010-03-31,Iran,1941.905075572504,3
2010-03-31,Sweden,1921.0079292347157,4
2010-03-31,United States,1914.3570276405305,5
2010-03-31,France,1911.2627253589603,6
