rank_date,country_full,total_points,rank
2010-01-31,Argentina,2099.971637505945,1
2010-01-31,France,2048.839888898145,2
2010-01-31,Spain,2040.0277679191902,3
2010-01-31,England,2031.4381203714802,4
2010-01-31,Brazil,1996.6605548011846,5
2010-01-31,Belgium,1949.197538258499,6
2010-01-31,Netherlands,1941.9088748397553,7
2010-01-31,Portugal,1932.2014835887612,8
2010-01-31,Colombia,1918.241076774923,9
2010-01-31,Italy,1909.7478040377187,10
2010-01-31,Uruguay,1902.165586967293,11
2010-01-31,Croatia,1889.5887278621003,12
2010-01-31,Germany,1883.4155919571529,13
2010-01-31,Morocco,1868.267176754742,14
2010-01-31,Switzerland,1860.3331893812974,15
2010-01-31,United States,1847.8099336366436,16
2010-01-31,Senegal,1838.3978726624352,17
2010-01-31,Japan,1833.7791394513044,18
2010-01-31,Mexico,1821.3082472885174,19
2010-01-31,Iran,1811.79789168834,20
2010-01-31,Denmark,1797.3717968562432,21
2010-01-31,South Korea,1787.9910339761452,22
2010-01-31,Australia,1779.1976232892325,23
2010-01-31,Canada,1733.748558029724,24
2010-01-31,New Zealand,1725.8951925104975,25
2010-01-31,Ivory Coast,1725.2532280190876,26
2010-01-31,Poland,1712.1553675975938,27
2010-01-31,Saudi Arabia,1703.9892538150493,28
2010-01-31,Serbia,1697.0244866058997,29
2010-01-31,Iraq,1681.1344418382212,30
2010-01-31,Algeria,1659.8020983555866,31
2010-01-31,Jamaica,1639.933312807031,32
2010-01-31,United Arab Emirates,1620.3027821576657,33
2010-01-31,Cameroon,1607.919693403336,34
2010-01-31,Ukraine,1591.0293888545937,35
2010-01-31,Chile,1583.3296410126898,36
2010-01-31,Mali,1581.9925598612388,37
2010-01-31,Panama,1579.6612651308276,38
2010-01-31,Wales,1579.5589042888387,39
2010-01-31,Nigeria,1559.3312503442746,40
2010-01-31,Peru,1543.6936789817198,41
2010-01-31,Egypt,1514.6778676703818,42
2010-01-31,Sweden,1495.6306646835405,43
2010-01-31,Venezuela,1476.167413417204,44
