team,squad_size,avg_age,market_value_m
England,26,17.0,1620.0
France,26,17.0,1360.0
Spain,26,18.0,1310.0
Portugal,26,10.0,864.5
Brazil,26,23.0,778.5
Germany,26,21.0,773.5
Netherlands,26,12.0,766.0
Argentina,26,20.0,761.2
Belgium,26,15.0,534.2
Senegal,26,4.0,474.0
Morocco,26,8.0,456.0
Denmark,26,6.0,375.0
Ecuador,26,5.0,366.73
Uruguay,26,16.0,362.45
United States,26,12.0,356.7
Switzerland,26,13.0,322.1
Serbia,26,3.0,298.5
Croatia,26,7.0,283.3
Japan,26,8.0,264.2
Poland,26,9.0,214.5
Ghana,26,5.0,199.28
Wales,26,2.0,197.95
Cameroon,26,8.0,197.4
South Korea,26,12.0,136.75
Canada,26,3.0,129.38
Mexico,26,18.0,79.8
Tunisia,26,7.0,52.3
Australia,26,7.0,51.23
Saudi Arabia,26,7.0,27.63
Iran,26,7.0,23.08
Costa Rica,26,6.0,18.7
Qatar,26,2.0,18.3
Italy,26,18.0,833.5
Norway,26,4.0,504.0
Turkiye,26,3.0,435.2
Ivory Coast,26,4.0,425.9
Sweden,26,13.0,363.98
Colombia,26,7.0,300.5
Greece,26,3.0,288.1
Austria,26,9.0,263.4
Ukraine,26,1.0,261.7
Algeria,26,5.0,227.75
Nigeria,26,6.0,209.08
Hungary,26,9.0,205.6
Russia,26,4.0,205.3
Scotland,26,9.0,198.15
Georgia,26,0.0,195.3
Republic of Ireland,26,3.0,185.25
Czechia,26,2.0,176.8
Democratic Republic of the Congo,26,1.0,153.4
Slovenia,26,2.0,142.85
Paraguay,26,10.0,134.7
Slovakia,26,1.0,130.45
Bosnia-Herzegovina,26,2.0,125.6
Burkina Faso,26,0.0,121.03
Kosovo,26,0.0,114.28
Egypt,26,4.0,108.0
